Month,Min_Open,Max_Open,Min_Close,Max_Close,Min_High,Max_High,Min_Low,Max_Low,Min_Volume,Max_Volume
Apr-24,78.10399628,90.40599823,76.19999695,90.61599731,80.07299805,92.22499847,75.60600281,89.20400238,283220000,875198000
Apr-99,0.034896001,0.044792,0.034115002,0.044530999,0.036458001,0.045832999,0.033333,0.04349,30432000,227184000
Aug-00,0.224999994,0.332551986,0.245051995,0.330729008,0.252083004,0.34375,0.224999994,0.325520992,108576000,658872000
Aug-01,0.343708009,0.374208003,0.339332998,0.374291986,0.350374997,0.377999991,0.334374994,0.364374995,820344000,2321160000
Aug-02,0.074417002,0.106250003,0.071667001,0.106082998,0.076917,0.112083003,0.070749998,0.101833001,581304000,2243928000
Aug-03,0.131249994,0.174916998,0.129167005,0.170499995,0.135416999,0.178917006,0.127167001,0.168583006,217716000,3767580000
Aug-04,0.080582999,0.13075,0.078583002,0.130167007,0.083916999,0.130833,0.077500001,0.126416996,420984000,5088948000
Aug-05,0.226833001,0.253500015,0.228917003,0.255917013,0.229917005,0.258832991,0.225333005,0.250333011,254460000,2295420000
Aug-06,0.361999989,0.485832989,0.354167014,0.486999989,0.365166992,0.492000014,0.347499996,0.478666991,238314000,1603272000
Aug-07,0.705833018,0.82833302,0.708999991,0.852666974,0.719500005,0.855832994,0.675000012,0.823832989,361644000,1251834000
Aug-08,0.269499987,0.345750004,0.264499992,0.351999998,0.272500008,0.352999985,0.263749987,0.338,365192000,2095260000
Aug-09,0.321500003,0.363999993,0.321500003,0.368250012,0.326249987,0.375750005,0.317999989,0.359250009,427148000,1401872000
Aug-10,0.217999995,0.251249999,0.222000003,0.252999991,0.226249993,0.256249994,0.216250002,0.245000005,352920000,1797392000
Aug-11,0.293500006,0.370999992,0.293249995,0.370249987,0.305000007,0.384499997,0.29124999,0.360500008,553328000,3195784000
Aug-12,0.333000004,0.377499998,0.334749997,0.370249987,0.340999991,0.380499989,0.327499986,0.364499986,250412000,1278744000
Aug-13,0.347499996,0.377499998,0.359250009,0.379750013,0.361999989,0.38499999,0.327749997,0.376749992,129016000,906224000
Aug-14,0.4375,0.486499995,0.436500013,0.486250013,0.444750011,0.48725,0.433499992,0.481249988,153380000,894348000
Aug-15,0.502749979,0.59375,0.507000029,0.594500005,0.507749975,0.598749995,0.496250004,0.586499989,214652000,1405248000
Aug-16,1.399250031,1.578250051,1.401000023,1.575999975,1.407500029,1.587499976,1.387500048,1.568249941,244748000,1425744000
Aug-17,3.928499937,4.347249985,3.898999929,4.308750153,3.974999905,4.363999844,3.822750092,4.217750072,324096000,1497196000
Aug-18,6.079500198,6.930749893,6.120500088,7.017000198,6.209000111,7.043000221,5.967999935,6.914999962,204280000,1143188000
Aug-19,3.747499943,4.290500164,3.719249964,4.287000179,3.790750027,4.336249828,3.68475008,4.247499943,255612000,1007960000
Aug-20,10.73250008,13.18274975,10.85000038,13.37450027,11.09875011,13.57499981,10.71525002,13.03775024,244316000,999868000
